KO,EC,RXN
K00053,1.1.1.86,"R03051;R03051  2,3-dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing);R04439;R04439  (R)-2,3-dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing);R04440;R04440  (R)-2,3-dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing);R05068;R05068  (R)-2,3-dihydroxy-3-methylpentanoate:NADP+ oxidoreductase (isomerizing);R05069;R05069  (S)-2-aceto-2-hydroxybutanoate:NADP+ oxidoreductase (isomerizing);R05071;R05071  (S)-2-acetolactate methylmutase"
K00054,1.1.1.88,R02081;R02081  (R)-mevalonate:NAD+ oxidoreductase (CoA-acetylating)
K00057,1.1.1.94,R00842;R00842  sn-glycerol-3-phosphate:NAD+ 2-oxidoreductase;R00844;R00844  sn-glycerol-3-phosphate:NADP+ 2-oxidoreductase
K00058,1.1.1.399;1.1.1.95,R01513;R01513  3-phospho-D-glycerate:NAD+ 2-oxidoreductase
K00059,1.1.1.100,R02767;R02767  (3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04533;R04533  (3R)-3-hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase;R04534;R04534  (3R)-3-hydroxydecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04536;R04536  (3R)-3-hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04543;R04543  (3R)-3-hydroxypalmitoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04566;R04566  (3R)-3-hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04953;R04953  (3R)-3-hydroxyhexanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R04964;R04964  (3R)-3-hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase;R07763;R10116;R10116  3-hydroxyglutaryl-[acp]-methyl-ester:NADP+ oxidoreductase;R10120;R10120  3-hydroxypimeloyl-[acp]-methyl-ester:NADP+ oxidoreductase;R11671
K00060,1.1.1.103,R01465;R01465  L-threonine:NAD+ oxidoreductase
K00064,1.1.1.122,R07675;R07675  L-galactose:NAD+ 1-oxidoreductase;R08926;R08926  L-fucose:NAD+ 1-oxidoreductase
K00065,1.1.1.127,R01542;R01542  2-dehydro-3-deoxy-D-gluconate:NAD+ 5-oxidoreductase
K00066,1.1.1.132,R00880;R00880  GDP-D-mannose:NAD+ 6-oxidoreductase
K00067,1.1.1.133,R02777;R02777  dTDP-beta-L-rhamnose:NADP+ 4-oxidoreductase
K00074,1.1.1.157,R01976;R01976  (S)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase;R05576;R05576  (S)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase;R06941;R06941  (S)-3-hydroxyacyl-CoA:NAD+ oxidoreductase
K00075,1.3.1.98,R03191;R03191  UDP-N-acetylmuramate:NADP+ oxidoreductase;R03192;R03192  UDP-N-acetylmuramate:NADP+ oxidoreductase
K00076,1.1.1.159,
K00077,1.1.1.169,R02472;R02472  (R)-pantoate:NADP+ 2-oxidoreductase
K00088,1.1.1.205,R01130;R01130  IMP:NAD+ oxidoreductase;R08240;R08240  6-thioinosine 5'-monophosphate:NAD+ oxidoreductase
K00090,1.1.1.215;1.1.1.79;1.1.1.81,R00465;R00465  glycolate:NADP+ oxidoreductase;R01388;R01388  D-glycerate:NAD+ 2-oxidoreductase;R01392;R01392  D-glycerate:NADP+ 2-oxidoreductase;R01739;R01739  D-gluconate:NADP+ 2-oxidoreductase
K00094,1.1.1.251,R05571;R05571  galactitol-1-phosphate:NAD oxidoreductase
K00096,1.1.1.261,R05679;R05679  sn-glycerol-1-phosphate:NAD 2-oxidoreductase;R05680;R05680  sn-glycerol-1-phosphate:NADP 2-oxidoreductase
K00097,1.1.1.262,R05681;R05681  NAD-dependent threonine 4-phosphate dehydrogenase;R05837;R05837  4-(phosphonooxy)threonine:NAD oxidoreductase;R07406
K00099,1.1.1.267,R05688;R05688  1-deoxy-D-xylulose-5-phosphate isomeroreductase
K00101,1.1.2.3,R00196;R00196  (S)-lactate:ferricytochrome-c 2-oxidoreductase
K00102,1.1.2.4,R00197;R00197  (R)-lactate:ferricytochrome-c 2-oxidoreductase
K00104,1.1.99.14,R00475;R00475  glycolate:oxygen 2-oxidoreductase;R00476;R00476  glycolate:acceptor 2-oxidoreductase
K00108,1.1.99.1,R01025;R01025  choline:acceptor 1-oxidoreductase
K00111,1.1.5.3,R00848;R00848  sn-glycerol-3-phosphate:(acceptor) 2-oxidoreductase
K00112,1.1.5.3,R00848;R00848  sn-glycerol-3-phosphate:(acceptor) 2-oxidoreductase
K00113,,R00848;R00848  sn-glycerol-3-phosphate:(acceptor) 2-oxidoreductase
K00114,1.1.2.8,R05062;R05062  2-propyn-1-ol:cytochrome-c oxidoreductase;R05198;R05198  ethanol:cytochrome c oxidoreductase;R05285;R05285  2-chloroethanol:cytochrome c oxidoreductase
K00116,1.1.5.4,R00360;R00360  (S)-malate:oxygen oxidoreductase;R00361;R00361  (S)-malate:quinone oxidoreductase;R01257;R01257  (S)-malate:FAD oxidoreductase
K00117,1.1.5.2,R06620;R06620  D-glucose:ubiquinone oxidoreductase
K00120,,
K00121,1.1.1.1;1.1.1.284,"R00623;R00623  primary_alcohol:NAD+ oxidoreductase;R00754;R00754  ethanol:NAD+ oxidoreductase;R02124;R02124  retinol:NAD+ oxidoreductase;R04880;R04880  3,4-dihydroxyphenylethyleneglycol:NAD+ oxidoreductase;R05233;R05233  trans-3-chloro-2-propene-1-ol:NAD+ oxidoreductase;R05234;R05234  cis-3-chloro-2-propene-1-ol:NAD+ oxidoreductase;R06917;R06917  1-hydroxymethylnaphthalene:NAD+ oxidoreductase;R06927;R06927  (2-naphthyl)methanol:NAD+ oxidoreductase;R06983;R06983  S-(hydroxymethyl)glutathione dehydrogenase;R07105;R07105  trichloroethanol:NAD+ oxidoreductase;R08281;R08281  alcophosphamide:NAD+ oxidoreductase;R08306;R08306  2-phenyl-1,3-propanediol monocarbamate:NAD+ oxidoreductase;R08310;R08310  4-hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one:NAD+ oxidoreductase"
K00123,1.17.1.9,R00519;R00519  formate:NAD+ oxidoreductase
K00124,,R00519;R00519  formate:NAD+ oxidoreductase
K00126,1.17.1.9,R00519;R00519  formate:NAD+ oxidoreductase
K00127,,R00519;R00519  formate:NAD+ oxidoreductase
K00128,1.2.1.3,"R00264;R00264  2,5-dioxopentanoate:NADP+ 5-oxidoreductase;R00631;R00631  aldehyde:NAD+ oxidoreductase;R00710;R00710  acetaldehyde:NAD+ oxidoreductase;R00904;R00904  3-aminopropanal:NAD+ oxidoreductase;R01752;R01752  D-glyceraldehyde:NAD+ oxidoreductase;R01986;R01986  4-aminobutyraldehyde:NAD+ oxidoreductase;R02549;R02549  4-aminobutanal:NAD+ 1-oxidoreductase;R02678;R02678  indole-3-acetaldehyde:NAD+ oxidoreductase;R02940;R02940  2-propyn-1-al:NAD+ oxidoreductase;R02957;R02957  D-glucuronolactone:NAD+ oxidoreductase;R03283;R03283  4-trimethylammoniobutanal:NAD+ 1-oxidoreductase;R03869;R03869  (S)-methylmalonate semialdehyde:NAD+ oxidoreductase;R04065;R04065  imidazole acetaldehyde:NAD+ oxidoreductase;R04506;R04506  3alpha,7alpha-dihydroxy-5beta-cholestan-26-al:NAD+ oxidoreductase;R04903;R04903  5-hydroxyindoleacetaldehyde:NAD+ oxidoreductase;R05050;R05050  N4-acetylaminobutanal:NAD+ oxidoreductase;R05237;R05238;R05286;R05286  chloroacetaldehyde:NAD+ oxidoreductase;R06366;R06366  aldehyde:NAD+ oxidoreductase;R08146;R08146  farnesal:NAD+ oxidoreductase"
K00130,1.2.1.8,R02565;R02565  p-cumic alcohol:NAD+ oxidoreductase;R02566;R02566  p-cumic alcohol:NADP+ oxidoreductase
K00133,1.2.1.11,R02291;R02291  L-aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)
K00134,1.2.1.12,R01061;R01061  D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)
K00135,1.2.1.16;1.2.1.20;1.2.1.79,R00713;R00713  succinate-semialdehyde:NAD+ oxidoreductase;R00714;R00714  succinate-semialdehyde:NADP+ oxidoreductase;R02401;R02401  glutarate-semialdehyde:NAD+ oxidoreductase
K00138,,R00711;R00711  acetaldehyde:NADP+ oxidoreductase
K00140,1.2.1.18;1.2.1.27,"R00705;R00705  3-oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating);R00706;R00706  3-oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating);R00922;R00922  2-methyl-3-oxopropanoate:NAD+ oxidoreductase (CoA-propanoylating);R00935;R00935  (S)-methylmalonate semialdehyde:NAD+ oxidoreductase (CoA-propanoylating)"
K00141,1.2.1.28,R01293;R01293  4-hydroxybenzaldehyde:NAD+ oxidoreductase;R01419;R01419  benzaldehyde:NAD+ oxidoreductase;R05289;R05289  p-methylbenzaldehyde:NADP+ oxidoreductase;R05663;R05664;R07667;R07667  3-hydroxybenzaldehyde:NAD+ oxidoreductase
K00145,1.2.1.38,R03443;R03443  N-acetyl-L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphrylating)
K00147,1.2.1.41,R03313;R03313  L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating)
K00151,1.2.1.60,R04418;R04418  5-carboxymethyl-2-hydroxymuconic-semialdehyde:NAD+ oxidoreductase
K00153,1.1.1.306,R09129;R09129  S-(hydroxymethyl)mycothiol:NAD+ oxidoreductase;R10301;R10301  S-(hydroxymethyl)mycothiol:NAD+ oxidoreductase
K00156,1.2.5.1,R03145;R03145  pyruvate:ubiquinone oxidoreductase
K00158,1.2.3.3,R00207;R00207  pyruvate:oxygen 2-oxidoreductase (phosphorylating)
K00162,1.2.4.1,"R00014;R00014  pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating);R00209;R00209  pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating);R01699;R01699  pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating);R03270"
K00163,1.2.4.1,"R00014;R00014  pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating);R00209;R00209  pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating);R01699;R01699  pyruvate:[dihydrolipoyllysine-residue acetyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-acetylating);R03270"
K00164,1.2.4.2,"R00621;R00621  ;R01700;R01700  2-oxoglutarate:[dihydrolipoyllysine-residue succinyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-succinylating);R03316;R08549;R08549  2-oxoglutarate:NAD+ 2-oxidoreductase (CoA-succinylating)"
K00166,1.2.4.4,"R01210;R01210  3-methyl-2-oxobutanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating);R01651;R01651  4-methyl-2-oxopentanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating);R01701;R01701  3-methyl-2-oxobutanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R01702;R01702  4-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R03171;R03171  (S)-3-methyl-2-oxopentanoate:NAD+ 2-oxidoreductase (CoA-methylbutanoylating);R04225;R04225  (S)-3-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R07599;R07600;R07601;R07602;R07603;R07604;R10996;R10997"
K00167,1.2.4.4,"R01210;R01210  3-methyl-2-oxobutanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating);R01651;R01651  4-methyl-2-oxopentanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating);R01701;R01701  3-methyl-2-oxobutanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R01702;R01702  4-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R03171;R03171  (S)-3-methyl-2-oxopentanoate:NAD+ 2-oxidoreductase (CoA-methylbutanoylating);R04225;R04225  (S)-3-methyl-2-oxopentanoate:[dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] lipoyllysine 2-oxidoreductase (decarboxylating, acceptor-2-methylpropanoylating);R07599;R07600;R07601;R07602;R07603;R07604;R10996;R10997"
K00169,1.2.7.1,R01196;R01196  pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating);R01199;R01199  2-oxobutanoate:ferredoxin 2-oxidoreductase (CoA-propanoylating);R08034
K00170,1.2.7.1,R01196;R01196  pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating);R01199;R01199  2-oxobutanoate:ferredoxin 2-oxidoreductase (CoA-propanoylating);R08034
K00174,1.2.7.11;1.2.7.3,R01196;R01196  pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating);R01197;R01197  2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)
K00175,1.2.7.11;1.2.7.3,R01196;R01196  pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating);R01197;R01197  2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)
K00176,1.2.7.3,R01197;R01197  2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)
K00177,1.2.7.3,R01197;R01197  2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating)
K00179,1.2.7.8,
K00180,1.2.7.8,
K00185,,R09501;R09501  dimethyl sulfide:menaquinone oxidoreductase
K00186,1.2.7.7, CoA-2-methylbutanoylating); CoA-3-methylbutanoylating);CoA-2-methylpropanoylating);R07160;R07160  3-methyl-2-oxobutanoate:ferredoxin oxidoreductase (decarboxylating;R08566;R08566  4-methyl-2-oxopentanoate:ferredoxin oxidoreductase (decarboxylating;R08567;R08567  (S)-3-methyl-2-oxopentanoate:ferredoxin oxidoreductase (decarboxylating
K00187,1.2.7.7, CoA-2-methylbutanoylating); CoA-3-methylbutanoylating);CoA-2-methylpropanoylating);R07160;R07160  3-methyl-2-oxobutanoate:ferredoxin oxidoreductase (decarboxylating;R08566;R08566  4-methyl-2-oxopentanoate:ferredoxin oxidoreductase (decarboxylating;R08567;R08567  (S)-3-methyl-2-oxopentanoate:ferredoxin oxidoreductase (decarboxylating
K00193,2.3.1.169,R09096;R09096  ;R10219
K00200,1.2.7.12,R03015;R03015  formylmethanofuran:ferredoxin oxidoreductase;R08060
K00201,1.2.7.12,R03015;R03015  formylmethanofuran:ferredoxin oxidoreductase;R08060
K00206,,R04251;R04251  phosphonoacetaldehyde:NAD+ oxidoreductase
K00208,1.3.1.10;1.3.1.9,R01403;R01403  acyl-[acyl-carrier-protein]:NAD+ oxidoreductase;R01404;R01404  acyl-[acyl-carrier protein]:NADP+ oxidoreductase;R04429;R04429  butyryl-[acp]:NAD+ trans-2-oxidoreductase;R04430;R04430  butyryl-[acp]:NADP+ trans-2-oxidoreductase;R04724;R04724  dodecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04725;R04725  dodecanoyl-[acp]:NADP+ trans-2-oxidoreductase;R04955;R04955  hexanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04956;R04956  hexanoyl-[acp]:NADP+ trans-2-oxidoreductase;R04958;R04958  octanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04959;R04959  octanoyl-[acp]:NADP+ trans-2-oxidoreductase;R04961;R04961  decanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04962;R04962  decanoyl-[acp]:NADP+ trans-2-oxidoreductase;R04966;R04966  tetradecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04967;R04967  tetradecanoyl-[acp]:NADP+ trans-2-oxidoreductase;R04969;R04969  hexadecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04970;R04970  hexadecanoyl-[acp]:NADP+ trans-2-oxidoreductase;R07765;R07765  octadecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R10118;R10118  glutaryl-[acp]-methyl-ester:NADP+ oxidoreductase;R10122;R10122  pimelyl-[acyl-carrier protein]-methyl-ester:NADP+ oxidoreductase;R11671
K00209,1.3.1.44;1.3.1.9,R01171;R01171  butanoyl-CoA:NAD+ trans-2-oxidoreductase;R01403;R01403  acyl-[acyl-carrier-protein]:NAD+ oxidoreductase;R04429;R04429  butyryl-[acp]:NAD+ trans-2-oxidoreductase;R04724;R04724  dodecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04955;R04955  hexanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04958;R04958  octanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04961;R04961  decanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04966;R04966  tetradecanoyl-[acp]:NAD+ trans-2-oxidoreductase;R04969;R04969  hexadecanoyl-[acp]:NAD+ trans-2-oxidoreductase
K00215,1.17.1.8,"R04198;R04198  2,3,4,5-tetrahydrodipicolinate:NAD+ 4-oxidoreductase;R04199;R04199  2,3,4,5-tetrahydrodipicolinate:NADP+ 4-oxidoreductase"
K00218,1.3.1.33,"R03845;R03845  chlorophyllide-a:NADP+ 7,8-oxidoreductase;R06286;R06286  chlorophyllide-a:NADP+ 7,8-oxidoreductase"
K00219,1.3.1.34,
K00228,1.3.3.3,R03220;R03220  coproporphyrinogen:oxygen oxidoreductase (decarboxylating)
K00231,1.3.3.15;1.3.3.4,R03222;R03222  protoporphyrinogen-IX:oxygen oxidoreductase;R04178;R04178  coproporphyrinogen-III:oxygen oxidoreductase (coproporphyrin-forming)
K00232,1.3.3.6,"R01175;R01175  butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R01279;R01279  palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R03777;R03777  octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase;R03857;R03857  lauroyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R03990;R03990  tetradecanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04751;R04751  hexanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04754;R04754  decanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R07888;R07892;R07896;R07934;R07934  (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA:oxygen 2-oxidoreductase;R07950;R07950  (6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA:oxygen 2-oxidoreductase;R12356;R12356  propanoyl-CoA:oxygen 2-oxidoreductase"
K00233,1.3.5.1;7.1.1.12,R02164;R02164  succinate:quinone oxidoreductase
K00239,1.3.5.1,R02164;R02164  succinate:quinone oxidoreductase
K00240,1.3.5.1,R02164;R02164  succinate:quinone oxidoreductase
K00241,,R02164;R02164  succinate:quinone oxidoreductase
K00243,,
K00244,1.3.5.1,R02164;R02164  succinate:quinone oxidoreductase
K00245,1.3.5.1,R02164;R02164  succinate:quinone oxidoreductase
K00247,,R02164;R02164  succinate:quinone oxidoreductase
K00248,1.3.8.1,"R01175;R01175  butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R01178;R01178  short-chain acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R02661;R02661  2-methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase;R03172;R03172  (S)-2-methylbutanoyl-CoA:acceptor 2,3-oxidoreductase;R04432;R04432  propanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04751;R04751  hexanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
K00249,1.3.8.7,"R01175;R01175  butanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R01279;R01279  palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R02661;R02661  2-methylpropanoyl-CoA:(acceptor) 2,3-oxidoreductase;R03172;R03172  (S)-2-methylbutanoyl-CoA:acceptor 2,3-oxidoreductase;R03777;R03777  octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase;R03857;R03857  lauroyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R03990;R03990  tetradecanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04095;R04095  3-methylbutanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04751;R04751  hexanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04754;R04754  decanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
K00252,1.3.8.6,"R02487;R02487  glutaryl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase (decarboxylating);R02488;R02488  glutaryl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase (decarboxylating);R10074;R10074  glutaryl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
K00253,1.3.8.4,"R04095;R04095  3-methylbutanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
K00254,1.3.5.2,R01868;R01868  (S)-dihydroorotate:quinone oxidoreductase
K00255,1.3.8.8,"R01279;R01279  palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R03777;R03777  octanoyl-CoA:electron-transfer flavoprotein 2-oxidoreductase;R03857;R03857  lauroyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R03990;R03990  tetradecanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04751;R04751  hexanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase;R04754;R04754  decanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
K00259,1.4.1.1,R00396;R00396  L-alanine:NAD+ oxidoreductase (deaminating)
K00260,1.4.1.2,R00243;R00243  L-glutamate:NAD+ oxidoreductase (deaminating)
K00261,1.4.1.3,R00243;R00243  L-glutamate:NAD+ oxidoreductase (deaminating);R00248;R00248  L-glutamate:NADP+ oxidoreductase (deaminating)
K00262,1.4.1.4,R00248;R00248  L-glutamate:NADP+ oxidoreductase (deaminating)
K00263,1.4.1.9,R01088;R01088  L-leucine:NAD+ oxidoreductase (deaminating);R01434;R01434  L-valine:NAD+ oxidoreductase(deaminating);R02196;R02196  L-isoleucine:NAD+ oxidoreductase(deaminating)
